Sektor Ekonomi (IE),,,,,,,,,,,,,,,,,,,,,,,,,,
,Posisi Kredit Investasi Perbankan dalam Rupiah dan Valuta Asing Menurut Sektor Ekonomi (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,
,Dalam Rupiah,,,,,,,,,,,,,Dalam Valuta Asing,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Pinjaman Berdasarkan Lapangan Usaha,1654180.93,1682723.83,1701793.89,1741728.27,1753264.82,1758393.81,1762766.2,1766047.69,1801694.87,1852731.76,-,-,-,437431.6,449741.9,451761.5,473957.53,465726,455173.2,457861.93,458307.92,461050.33,482431.19,-,-,-
"Pertanian, Kehutanan dan Perikanan",266214.01,268007.15,268707.87,271926.47,279236.41,279072.38,284112.75,285090.72,282698.54,304744.4,-,-,-,24659.87,25043.35,24584.59,24548.81,22679.46,22167.43,20396.17,20070.55,19758.01,19405.86,-,-,-
Pertambangan dan Penggalian,82173.05,83496.16,88144.88,98006.8,109213.23,111109.09,111847.47,112037.52,114108.79,113702.26,-,-,-,96119.92,95652.97,98841.65,106457.22,104738.1,104954.74,104479.56,102858.99,104264.76,107259.59,-,-,-
Industri Pengolahan,226287.38,230042.26,231276.87,234424.14,234537.18,235336.45,236161.68,237430.07,241360.86,244931.52,-,-,-,109390,117892.9,118274.2,120919.95,121465.7,118891.86,121510.47,122601.42,121964.49,133862.24,-,-,-
Pengadaan Listrik dan Gas,78157.62,77092.06,78786.8,79313.31,81024.76,84946.37,85192.05,84267.67,99410.14,99432.9,-,-,-,95912.65,98363.44,98326.98,98844.12,96810.14,92883.81,94867.89,94692.69,95645.52,103431.96,-,-,-
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",7697.25,7675.15,7782.36,7874.01,8189.44,8319.26,8276.49,8305.83,8974.93,9076.63,-,-,-,535.02,489.82,489.22,490.37,427.76,426.31,432.05,378.89,382.92,382.1,-,-,-
Konstruksi,166555.51,169770.84,173434.36,174569.39,173756.46,172349.77,169595.29,169075.31,173140.57,174214.99,-,-,-,2871.08,2903.36,2821.98,3635.29,3538.01,3250.99,2452.72,2441.37,2388.43,978.51,-,-,-
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",201343.27,202641.75,203227.87,202764.92,202103.46,200122.4,201608.15,201710.4,201470,214020.57,-,-,-,9825.89,9894.81,10012.91,9697.82,9470.02,9496.92,9609.05,11018.1,12443.59,13142.07,-,-,-
Transportasi dan Pergudangan,151959.54,151878.99,154120.96,159829.27,161668.01,165218,166118.13,167315.56,169693.16,174804.9,-,-,-,54890.93,56199.97,56155.93,66685.9,64655.52,62877.11,64099.1,64129.44,64196.78,63798.91,-,-,-
Penyediaan Akomodasi dan Makan Minum,83178.72,83504.58,84321.81,84497.98,84554.53,83803.05,8486.07,85280.13,87119.99,87358.16,-,-,-,7230.64,7324.01,7123.98,7135.39,6970.97,6785.48,6757.94,6610.21,6598.82,6596.84,-,-,-
Informasi dan Komunikasi,90814.75,87652.31,88027.88,98600.78,99743.31,102910.37,99012.26,98996.04,100710.13,103942.24,-,-,-,9283.28,9273.92,9140.44,8727.97,8476.84,8553.47,8136.83,7980.81,7807.78,7456.52,-,-,-
Jasa Keuangan dan Asuransi,20497.05,40418.68,39163.68,41231.51,30271.43,22895.46,23530.43,23269.92,23053.6,23561.02,-,-,-,3534.26,3500.7,3034.12,2964.1,2844.1,2740.3,3063.93,3169.55,2959.06,2945.9,-,-,-
Real Estate,138711.42,138295.51,137161.65,140455.08,140596.12,141406.55,141193.13,141792.42,141737.45,143852.67,-,-,-,9130.62,9275.72,9244.83,9218.53,9054.73,8553.38,8798.57,9011.05,9279.31,9777.25,-,-,-
Jasa Perusahaan,50220.2,49917.63,51616.58,52092.87,51655.55,52430.18,52061.19,51784.25,51937.52,52480.84,-,-,-,9613.26,9445.22,9440.88,10359.98,10394.23,9427.84,9045.25,9017.74,8999.84,8839.21,-,-,-
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",51.24,68.12,67.57,67.4,66.81,64.15,67.49,69.63,3895.05,68.68,-,-,-,7.67,7.58,9.32,9.75,9.3,9,8.85,8.6,6.28,6.04,-,-,-
Jasa Pendidikan,16282.28,16780.03,16928.54,16947.8,17150.55,17121.4,17199.23,17293.96,17629.78,17697.61,-,-,-,19.29,19.41,19.16,18.97,18.39,18.09,18.11,17.93,16.52,16.25,-,-,-
Jasa Kesehatan dan Kegiatan Lainnya,34192.34,34666.79,35177.88,35731.9,35964.03,36268.69,36837.34,37728.85,38169.72,38672.23,-,-,-,501.63,508.89,504.7,503.52,493.14,484.58,489.31,488.12,492.95,490.92,-,-,-
Jasa Lainnya,39845.3,40815.81,43846.34,43394.64,43533.55,45020.24,45092.43,44599.42,46584.62,50170.13,-,-,-,3905.55,3945.89,3736.63,3739.83,3679.62,3651.89,3696.13,3811.47,3845.28,4040.99,-,-,-
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-
JUMLAH,1654180.93,1682723.83,1701793.89,1741728.27,1753264.82,1758393.81,1762766.2,1766047.69,1801694.87,1852731.76,-,-,-,437431.6,449741.9,451761.5,473957.53,465726,455173.2,457861.93,458307.92,461050.33,482431.19,-,-,-
