Sektor Ekonomi,Bulan,Nilai Kredit,Jenis Kredit
Pinjaman Berdasarkan Lapangan Usaha,Januari,165418093.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Januari,26621401.0,Rupiah
Pertambangan dan Penggalian,Januari,8217305.0,Rupiah
Industri Pengolahan,Januari,22628738.0,Rupiah
Pengadaan Listrik dan Gas,Januari,7815762.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Januari,769725.0,Rupiah
Konstruksi,Januari,16655551.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Januari,20134327.0,Rupiah
Transportasi dan Pergudangan,Januari,15195954.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Januari,8317872.0,Rupiah
Informasi dan Komunikasi,Januari,9081475.0,Rupiah
Jasa Keuangan dan Asuransi,Januari,2049705.0,Rupiah
Real Estate,Januari,13871142.0,Rupiah
Jasa Perusahaan,Januari,502202.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Januari,5124.0,Rupiah
Jasa Pendidikan,Januari,1628228.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Januari,3419234.0,Rupiah
Jasa Lainnya,Januari,398453.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Januari,0.0,Rupiah
JUMLAH,Januari,165418093.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Februari,168272383.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Februari,26800715.0,Rupiah
Pertambangan dan Penggalian,Februari,8349616.0,Rupiah
Industri Pengolahan,Februari,23004226.0,Rupiah
Pengadaan Listrik dan Gas,Februari,7709206.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,767515.0,Rupiah
Konstruksi,Februari,16977084.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Februari,20264175.0,Rupiah
Transportasi dan Pergudangan,Februari,15187899.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Februari,8350458.0,Rupiah
Informasi dan Komunikasi,Februari,8765231.0,Rupiah
Jasa Keuangan dan Asuransi,Februari,4041868.0,Rupiah
Real Estate,Februari,13829551.0,Rupiah
Jasa Perusahaan,Februari,4991763.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,6812.0,Rupiah
Jasa Pendidikan,Februari,1678003.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Februari,3466679.0,Rupiah
Jasa Lainnya,Februari,4081581.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Februari,0.0,Rupiah
JUMLAH,Februari,168272383.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Maret,170179389.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Maret,26870787.0,Rupiah
Pertambangan dan Penggalian,Maret,8814488.0,Rupiah
Industri Pengolahan,Maret,23127687.0,Rupiah
Pengadaan Listrik dan Gas,Maret,787868.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Maret,778236.0,Rupiah
Konstruksi,Maret,17343436.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Maret,20322787.0,Rupiah
Transportasi dan Pergudangan,Maret,15412096.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Maret,8432181.0,Rupiah
Informasi dan Komunikasi,Maret,8802788.0,Rupiah
Jasa Keuangan dan Asuransi,Maret,3916368.0,Rupiah
Real Estate,Maret,13716165.0,Rupiah
Jasa Perusahaan,Maret,5161658.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Maret,6757.0,Rupiah
Jasa Pendidikan,Maret,1692854.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Maret,3517788.0,Rupiah
Jasa Lainnya,Maret,4384634.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Maret,0.0,Rupiah
JUMLAH,Maret,170179389.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,April,174172827.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",April,27192647.0,Rupiah
Pertambangan dan Penggalian,April,980068.0,Rupiah
Industri Pengolahan,April,23442414.0,Rupiah
Pengadaan Listrik dan Gas,April,7931331.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",April,787401.0,Rupiah
Konstruksi,April,17456939.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",April,20276492.0,Rupiah
Transportasi dan Pergudangan,April,15982927.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,April,8449798.0,Rupiah
Informasi dan Komunikasi,April,9860078.0,Rupiah
Jasa Keuangan dan Asuransi,April,4123151.0,Rupiah
Real Estate,April,14045508.0,Rupiah
Jasa Perusahaan,April,5209287.0,Rupiah
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",April,674.0,Rupiah
Jasa Pendidikan,April,169478.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,April,357319.0,Rupiah
Jasa Lainnya,April,4339464.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),April,0.0,Rupiah
JUMLAH,April,174172827.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Mei,175326482.0,Rupiah
"Pertanian, Kehutanan dan Perikanan",Mei,27923641.0,Rupiah
Pertambangan dan Penggalian,Mei,10921323.0,Rupiah
Industri Pengolahan,Mei,23453718.0,Rupiah
Pengadaan Listrik dan Gas,Mei,8102476.0,Rupiah
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Mei,818944.0,Rupiah
Konstruksi,Mei,17375646.0,Rupiah
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Mei,20210346.0,Rupiah
Transportasi dan Pergudangan,Mei,16166801.0,Rupiah
Penyediaan Akomodasi dan Makan Minum,Mei,8455453.0,Rupiah
